,Description,Target
18,U.S. stocks finished mostly higher on Friday after President Donald Trump announced measures against China in response to new security legislation that were less threatening to the U.S. economy than investors had feared.,positive
19,"United Airlines Holdings Inc  said on Friday it will eliminate 13 officer positions even as it adds international flights back to its network, part of a restructuring to address the hit on its business from the coronavirus pandemic.",negative
20,"Southwest Airlines Co  Chief Executive Officer Gary Kelly said on Friday he expects a ""brutal low-fare"" environment when traffic returns after coronavirus-induced restrictions ease.",neutral
21,"A gauge of global equities rebounded and crude oil rose on Friday after U.S. President Donald Trump ordered an end to Washington's special treatment of Hong Kong, a move investors welcomed as unlikely to jeopardize a trade accord with China.",positive
22,"A United Nations aviation-led task force is urging airlines, airports and countries to come up with a uniform approach to flying safely during the coronavirus pandemic, although it stopped short of providing specific requirements for the hard hit industry's recovery.",neutral
23,"The Trump administration will study ways to safeguard Americans from the risks of investing in Chinese companies, U.S. president Donald Trump said on Friday, ratcheting up pressure on the firms to comply with U.S. accounting and disclosure rules.",neutral
24,"Four U.S. senators, including a China hawk, urged the Federal Trade Commission on Friday to investigate allegations that the popular video app TikTok violated a consent decree protecting children's privacy.",neutral
25,"Oil prices soared on Friday, with U.S. futures closing out May with record monthly gains, on hopes that the U.S.-China trade deal would remain intact and on falling crude production.",positive
26,"Chinese internet giant Tencent Holdings Ltd  is in talks to invest $200 million in Warner Music Group, ahead of the record company's slated initial public offering next week, the Wall Street Journal reported https://www.wsj.com/articles/tencent-in-talks-to-buy-warner-music-stake-11590774885 on Friday.",positive
27,"Morgan Stanley  is planning to start getting some traders to return to its New York headquarters in mid- to late-June, CNBC reported on Friday, citing people with knowledge of the situation.",neutral
28,"The union representing workers at a meatpacking plant near Los Angeles where at least 153 employees have come down with COVID-19 called on Thursday for the plant's immediate closure, saying measures to control the outbreak were not working.",negative
29,It took just three days to sell shares in JDE Peet's  as investors facing a dearth of opportunities because of the coronavirus-induced slow-down rushed to secure a dose of the world's No. 2 maker of packaged coffee.,neutral
30,"U.S. consumers cut spending by the most on record for the second straight month in April while boosting savings to an all-time high, and the growing frugality reinforced expectations the economy could take years to recover from the COVID-19 pandemic.",negative
31,Chinese gaming company Beijing Kunlun Tech Co Ltd said on Friday that a U.S. national security panel approved the $620 million sale of popular gay dating app Grindr to an investor group called San Vicente Acquisition LLC.,neutral
32,Wells Fargo & Co  on Friday appointed Kevin Reen as chief risk officer (CRO) for its consumer lending arm and Bill Juliano to lead its operational risk management team as it revealed a new organizational structure to provide risk oversight.,neutral
33,"Ryanair's  Austrian carrier Lauda said on Friday it was closing down its Vienna base after failing to reach an agreement with unions on pay, and had already relocated many of its 15 planes to other bases.",neutral
34,"Aircraft makers are circling Brazil's Embraer  weeks after Boeing  ditched plans for a historic commercial aviation tie-up, people familiar with the matter said.",neutral
35,"China just concluded its closed-door annual meeting of parliament, the National People's Congress (NPC), with top officials making clear that employment is the top priority.",neutral
36,"OPEC oil output hit the lowest in two decades in May as Saudi Arabia and other members started to deliver a record supply cut, a Reuters survey found, although Nigeria and Iraq are laggards in making their share of the reduction.",negative
37,"Uber Technologies Inc on Friday said it would offer rides by the hour in some U.S. cities, a feature aimed at helping Americans with essential trips during the coronavirus pandemic.",neutral
38,"Renault acknowledged that its global ambitions had been unrealistic, announcing plans to cut about 15,000 jobs, shrink production and restructure French plants as it pressed the reset button and sought to banish the spectre of Carlos Ghosn.",negative
39,"Giovanni Pili, a worker at a Renault factory in France, was on Friday savoring the fact that he was not laid off in a global shakeup at the carmaker, and trying not to think too much about the uncertain future facing his plant, and his industry.",neutral
40,"Volkswagen AG  plans to boost its electric push in China, the world's biggest auto market, by pumping 2.1 billion euros in two Chinese electric vehicle players.",positive
41,"German automaker Volkswagen  will have full management control of its JAC-VW joint venture, the company's China CEO said on Friday.",neutral
42,"Denmark's state prosecutor has dropped its investigation into whether accounting firm EY breached anti-money laundering laws in connection with its audit of Danske Bank , the Danish Business Authority said on Friday.",neutral
43,"The Berlin government is likely to reach a deal with Brussels on a $10 billion government bailout of stricken airline Lufthansa , senior government official Thomas Jarzombek said on Friday, but stressed the German airline needed fair treatment.",positive
44,"EU antitrust chief Margrethe Vestager denied on Friday that she was putting hurdles in the way of Lufthansa's  $10 billion government rescue, saying companies getting big capital injections from the state have to offset their competitive advantage.",neutral
45,"Berlin is in intensive talks with the European Commission over a planned bailout for flagship German carrier Lufthansa , a government spokesman said on Friday.",neutral
46,"When Yahaira Caraballo opened her nail salon in the Bronx, New York nearly seven years ago, it was a bare-bones shop with two nail technicians.",neutral
47,"Ukraine expects the International Monetary Fund (IMF) to approve a $5 billion (4.05 billion pounds) loan package at a board meeting on June 5 and the first tranche of $1.9 billion to be disbursed the following day, Prime Minister Denys Shmygal told Reuters on Friday.",positive
48,China's Didi Chuxing said on Friday it had completed a fundraising round of over $500 million for its autonomous driving subsidiary that was led by SoftBank Group's  Vision Fund 2.,positive
49,"The Japanese government has guaranteed almost a third of the 7l3 billion yen ($6.65 billion) in loans Nissan Motor Co  has secured from its main lenders to weather the COVID-19 pandemic, according to three people with knowledge of the plans.",positive
50,"A Canadian court ruling that could permit the extradition of a senior Huawei Technologies Co Ltd [HWT.UL] executive to the United States leaves Canada vulnerable to further retaliation from Beijing, analysts said.",neutral
51,China's foreign ministry said on Friday that Canada is an accomplice to the U.S. government's efforts to bring down Chinese tech giant Huawei and said Canada should immediate release Huawei executive Meng Wanzhou.,neutral
52,"Rosneft  does not have enough crude to ship to buyers with which it has long-term supply deals, making it hard for the Russian company to continue with record oil cuts beyond June, four sources familiar with the matter told Reuters on Thursday.",neutral
53,The administrator of Virgin Australia Holdings  expects to shortlist two preferred bidders early next week after parties on Friday confirmed non-binding indicative proposals to acquire the airline.,neutral
54,"Global travel disruptions are the top concern for American businesses in China, of which many are cutting compensation and bonuses amid the fallout of the COVID-19 epidemic, according to a report from a business group.",neutral
55,"Morgan Stanley  has not been given an advisory role on the potential sale of a stake in Saudi Aramco's pipeline business, a deal worth over $10 billion, two sources told Reuters.",neutral
56,Geely Automobile Holdings Ltd  said on Friday it raised HK$6.48 billion ($836 million) from a share placement as the Chinese automaker looks to replenish its coffers to finance growth in the world's largest auto market.,positive
57,"U.S. Federal Reserve officials have talked broadly about helping households and firms through the current economic crisis and quickly unleashed trillions of dollars in cash and credit guarantees to build a ""bridge"" to the post-pandemic world.",positive
58,The administrator of Virgin Australia Holdings Ltd  said it expected to shortlist two preferred bidders early next week after parties confirmed non-binding indicative proposals to acquire the airline on Friday.,positive
59,"President Donald Trump said he will introduce legislation that may scrap or weaken a law that has protected internet companies, including Twitter and Facebook, in an extraordinary attempt to regulate social media platforms where he has been criticized.",neutral
60,"Argentina's economy minister said on Friday that a newly received debt restructuring proposal from two creditor groups was a step in the right direction, but still fell short of what the country needed to strike a deal.",neutral
61,"Tyson Foods Inc  said on Thursday it will temporarily close an Iowa pork plant due to the coronavirus pandemic, a month after U.S. President Donald Trump ordered slaughterhouses to stay open to protect the country's food supply.",negative
62,"A U.S. judge on Thursday said institutional investors, including BlackRock Inc  and Allianz SE's  Pacific Investment Management Co, can pursue much of their lawsuit accusing 15 major banks of rigging prices in the $6.6 trillion-a-day foreign exchange market.",neutral
63,"PG&E Corp said on Thursday its Chapter 11 reorganization plan has been confirmed by a California power regulator, bringing the power provider one step closer to emerge from bankruptcy and participate in a state-backed wildfire fund.",positive
64,"When Sainsbury's  new boss Simon Roberts hosts a virtual focus group with supermarket shoppers on his first day in charge on Monday, the conversation will be radically different from the one he might have imagined when he got the job.",neutral
65,"Costco Wholesale Corp  reported a 7.5% fall in quarterly profit on Thursday, as it spent more on wages and sanitizing its warehouse clubs and halted sales of some high-margin products due to the COVID-19 pandemic.",negative
66,"Wall Street ended lower on Thursday following a late-session reversal, with Facebook weighing on the market after President Donald Trump said he would sign an executive order related to social media companies and would hold a news conference on China on Friday.",negative
67,"Salesforce.com Inc cut its annual revenue and profit forecasts on Thursday, as the cloud-based business software maker allowed clients to defer payments and provided its sales team one-time commissions amid the COVID-19 pandemic.",neutral
68,General Motors  said on Thursday it would start increasing vehicle production in North America from next week to meet rising demand.,positive
69,"Upscale department store chain Nordstrom Inc  on Thursday reported a nearly 40% slump in quarterly sales, as lockdowns to contain the COVID-19 pandemic shut stores.",negative
70,United Parcel Service Inc  on May 31 will slap surcharges on U.S. e-commerce companies that have flooded its delivery network with shipments of everything from packaged food to patio furniture since the coronavirus took hold in March.,neutral
71,"French carmaker Renault is poised to announce 15,000 layoffs worldwide on Friday as it unveils a plan to boost its profitability and cope with faltering sales, a representative for the CFDT union said after meeting with the company.",negative
72,"A gauge of global equity markets climbed on Thursday on optimism for a speedy economic recovery and a massive stimulus plan in Europe helped lift regional stocks and the euro, while gold rebounded on a safety bid on deteriorating U.S.-China relations.",positive
73,"ViacomCBS Inc  is cutting up to 400 employees across CBS as part of its plan to save $750 million from its merger with CBS, a source familiar with the matter said on Thursday.",negative
74,"The top three U.S. airlines, hit hard by the coronavirus pandemic, are rolling out fresh programs to induce tens of thousands of employees to accept voluntary leave or early retirement in the hope of avoiding widespread furloughs in the fall, company memos show.",negative
75,"Cisco Systems Inc  has agreed to acquire privately held software maker ThousandEyes Inc, the network gear maker said on Thursday.",neutral
76,"Dell Technologies Inc beat analysts' estimates for quarterly revenue on Thursday, boosted by demand for its workstations from companies moving more employees to work from home due to the coronavirus outbreak.",positive
77,"The board of Italy's export credit agency SACE has approved state guarantees covering 80% of a 6.3 billion euro ($7 billion) bank loan for Fiat Chrysler  , a  source close to the matter said on Thursday.",positive
78,"LATAM Airlines Group's  U.S. bankruptcy filing this week will delay its potential bailout in Brazil to at least July and also push back aid to its rivals at least through the end of June, two sources said on Thursday.",negative
79,"TikTok's poaching of Disney's Kevin Mayer to be its CEO was just the most visible part of a broader strategy by its Chinese owner to shift its centre of power away from China at a time of rising global tensions, several people familiar with the plans said.",neutral
80,U.S. President Donald Trump said on Thursday that he is directing Attorney General William Barr to work with states to enforce their own laws against what he described as deceptive business practices by social media companies.,neutral
81,"Ratings agency Standard & Poor's cut engine maker Rolls-Royce's  credit rating to junk on Thursday, citing the disruption caused to global air travel from the COVID-19 pandemic.",negative
82,Oil futures rose about 2% on Thursday as a steady improvement in U.S. refining activity offset a surprise build in crude and diesel inventories and on worries that China's new Hong Kong security law could result in trade sanctions.,positive
83,"United Airlines Holdings Inc  Chief Executive Scott Kirby said on Thursday that facial masks, aircraft cleaning and air filtration systems are better measures for preventing the spread of the coronavirus on airplanes than trying to social distance.",neutral
84,"The U.S. economy has likely bottomed, Dallas Federal Reserve Bank President Robert Kaplan said on Thursday, but a healthy rebound depends on a massive increase in testing so that people feel comfortable resuming traveling, dining out and other pre-crisis activities.",neutral
85,"German car parts supplier ZF Friedrichshafen plans to reduce the workforce by up to 15,000 jobs, or around 10%, by 2025 as a result of a slump in demand, according to a memo on Thursday.",negative
86,"U.S. President Donald Trump could sign an executive order on social media companies later on Thursday, but the timing could change, White House Press Secretary Kayleigh MacEnany said, after Twitter urged readers to check facts in tweets sent by Trump earlier this week for the first time.",neutral
87,"General Electric  expects to burn more cash than expected in the second quarter, as the industrial conglomerate struggles with weakness in its aviation business due to the coronavirus crisis, Chief Executive Officer Larry Culp said on Thursday.",negative
88,"New York Governor Andrew Cuomo said he would sign an executive order on Thursday authorizing businesses to deny entry to anyone who does not wear a mask or face covering, stressing masks were critical to preventing the spread of the novel coronavirus.",neutral
89,"LATAM Airlines and Avianca Holdings  survived the Great Depression, but just a few weeks of quarantines forced both companies into bankruptcy, marking Latin America as the world's top spot for airline financial ruin.",negative
90,"Arizona filed a consumer fraud lawsuit against Alphabet Inc's Google on Wednesday, alleging that the U.S. tech giant used ""deceptive"" and ""unfair"" practices to obtain the location data of users.",neutral
91,U.S. Senate Finance Committee Chairman Chuck Grassley on Thursday said he did not expect President Donald Trump to walk away from a Phase 1 trade deal with China despite concerns over Beijing's handling of the coronavirus pandemic.,neutral
92,"Closely-watched talks between top German politicians and car industry representatives to discuss support for a sector hit hard by the coronavirus crisis will no longer take place on Tuesday, the head of the VDA car association told Bild.",neutral
93,"The U.S. House of Representatives on Thursday approved legislation increasing the amount of time, to 24 weeks from the current eight weeks, for small businesses to use Paycheck Protection Program (PPP) loans spurred by the coronavirus outbreak.",positive
94,"Last month Zagg Inc, a Utah-based company that makes mobile device accessories, received more than $9.4 million in cash from a U.S. government program that has provided emergency loans to millions of businesses hit by the coronavirus.",positive
95,"If U.S. President Donald Trump goes ahead with his threat to close Twitter, the micro-blogging site can always relocate to Germany.",neutral
96,Volkswagen  said on Thursday its supervisory board had approved several projects in a multibillion-dollar alliance with Ford Motor  that was first announced last July.,positive
97,America's top dollar store chains beat profit estimates on Thursday and said they would benefit from demand for affordable groceries and household essentials in coming months as rising unemployment threatens to spur a deep recession.,positive
98,"Germany's biggest labor union criticized Volkswagen  on Thursday for a recent advert deemed racist and other ""errors"", saying management had damaged the carmaker's reputation and put jobs at risk.",neutral
99,"Amazon.com Inc  plans to offer permanent jobs to about 70% of the U.S. workforce it has hired temporarily to meet consumer demand during the coronavirus pandemic, the company told Reuters on Thursday.",positive
100,"The number of Americans seeking jobless benefits fell for an eighth straight week last week, likely as some people returned to work, but claims remained at astonishingly high levels, suggesting it could take the economy a while to rebound as businesses reopen.",negative
101,"Nissan Motor Co outlined a new plan on Thursday to become a smaller, more efficient carmaker after the coronavirus pandemic exacerbated a slide in profitability that culminated in its first annual loss in 11 years.",neutral
102,"Spain said on Thursday it would do everything possible to stop Nissan from closing its main car factory in the country as angry workers burned tyres and shouted ""War"" outside the Barcelona plant.",neutral
103,"Citigroup Inc looks to return a small number of staff to its New York headquarters in July or possibly August, with workers reentering its London offices possibly even earlier, Chief Executive Officer Michael Corbat told Bloomberg News in an interview.",neutral
104,"Impulse purchases - gum, mints and snack bars tossed into a shopping basket as one snakes through the supermarket checkout line - are falling as more people get groceries delivered or pick them up curbside.",neutral
105,"U.S. buyout group KKR  is preparing to inject funds into Swiss vending machine company Selecta, which is saddled with debts and faces a loss of business due to the coronavirus crisis, four sources close to the matter said.",neutral
106,"Spain will do everything it can to get Nissan  to reverse its decision to close its Barcelona plant, Foreign Minister Arancha Gonzalez Laya said on Thursday.",neutral
107,"Southwest Airlines Co  said on Thursday it was adding new routes with more frequencies and nonstop flights from Phoenix, Denver, Las Vegas and Nashville.",positive
108,"Potential breaches of market rules have spiked since traders began working from home in March, drawing scrutiny from regulators and piling pressure on banks to plug ""black holes"" in surveillance systems, industry officials say.",negative
109,"Global champagne sales are forecast to slump by a third, or 100 million bottles, this year as the coronavirus crisis shuts bars and restaurants worldwide and hammers economies.",negative
110,"Nissan Motor Co  has agreed to settle a long-running dispute with the Indian state of Tamil Nadu after claiming it was owed 50 billion rupees ($660 million) in unpaid dues and damages, six sources told Reuters.",positive
111,"This year will be the worst for many world stock markets in nearly a decade at least, although a majority of equity strategists polled by Reuters say top indexes will not revisit lows struck this March following an explosive rally since then.",negative
112,"British department store group Debenhams has cut ""hundreds"" of head office jobs as it slims down its administrative functions to support a smaller business in the future, two people with knowledge of the situation told Reuters.",negative
113,"Nissan Motor Co's cash situation is ""tough"" as the coronavirus has sapped car sales, and the automaker must be vigilant in the coming months as a second wave of infections may add to liquidity issues, CEO Makoto Uchida told Reuters on Thursday.",negative
114,"Sonic Automotive Inc , which operates 95 U.S. car dealerships, started laying off and furloughing about a third of its workforce as the coronavirus pandemic crushed its sales. Then it changed its executives' pay packages - handing them a multimillion-dollar windfall.",negative
115,"Dollar Tree Inc  reported a surge in quarterly same-store sales on Thursday, joining rival Dollar General , as the discount retailer benefited from consumers stockpiling on groceries and other essentials due to the coronavirus crisis.",positive
116,"High borrowing costs will limit participation in a $500 billion U.S. Federal Reserve short-term borrowing program set up to address state and city revenue shortfalls due to the economic fallout from the coronavirus outbreak, analysts said.",negative
117,"Britain's easyJet  plans to cut up to 4,500 jobs and shrink its fleet to adjust to the smaller travel market which is forecast to emerge from the coronavirus crisis.",negative
118,"Nissan Motor Co intends to close its Barcelona main plant and two nearby facilities starting from December 2020, but it will keep open two facilities in northern Spain, the chairman of Nissan in Europe, Gianluca De Ficchy, said on Thursday.",negative
119,U.S. President Donald Trump is once again beating predecessor Barack Obama in stock market performance following a stunning recovery on Wall Street.,positive
120,General Motors Co  and Ford Motor Co  are using fast-payment programs set up with financial lenders to help cash-strapped small suppliers survive production shutdowns caused by the coronavirus pandemic.,neutral
121,"French carmaker Renault  said on Thursday that losses at its Japanese partner Nissan , in which it has a 43% stake, would drag on its on net earnings by 3.6 billion euro ($3.96 billion) in the first quarter.",negative
122,"Two U.S. senators are considering drafting further sanctions on Russia's Nord Stream 2 natural gas pipeline if Moscow goes ahead and finishes laying pipes, in another blow to a project which has already faced delays.",neutral
123,"The coronavirus lockdown has accelerated a digitalisation drive in a global shipping and logistics sector that still routinely delivers many documents by bike messenger in some countries, according to industry leaders.",neutral
124,French carmaker PSA said on Thursday that it would start manufacturing surgical masks at its site in Mulhouse in eastern France from August.,neutral
125,"American Airlines Group Inc must reduce its management and support staff by about 30% and may have to cut frontline employees as it downsizes due to the coronavirus outbreak, showed a letter to employees made public on Wednesday.",negative
126,"Alibaba Group Holding Ltd is emerging as one of China's biggest corporate winners of the coronavirus crisis, gaining the opportunity to expand its businesses and solidify its status as a critical part of the country's socio-economic engine.",positive
127,"Huawei Technologies Co's Chief Financial Officer Meng Wanzhou was dealt a setback by a Canadian court on Wednesday as she tries to avoid extradition to the United States to face bank fraud charges, dashing hopes for an end to her 18-month house arrest in Vancouver.",neutral
128,"Nissan Motor Co  said on Thursday it would slash its production capacity by a fifth to help reduce its fixed costs by 300 billion yen ($2.8 billion) as it looks to become a smaller, more cost-efficient automaker following a slide in sales.",negative
129,"U.S. President Donald Trump will sign an executive order on social media companies on Thursday, White House officials said after Trump threatened to shut down websites he accused of stifling conservative voices.",neutral
130,"A Canadian judge will rule Wednesday on a key aspect of Huawei Technologies Co Ltd's Chief Financial Officer Meng Wanzhou's extradition to the United States. The judge will rule on double criminality, meaning whether the charges against Meng were illegal in both Canada and the United States at the time of her December 2018 arrest.",neutral
131,Safran  shares rose on Thursday after Boeing  said it would restart production of its 737 MAX jet and announced further cost-cutting measures.,negative
132,Britain's easyJet  is not planning on raising new equity currently but its chief executive did not rule it out in future as the low-cost airline seeks to survive the coronavirus pandemic which has wiped out air travel.,negative
133,"EasyJet  will not fly to Italy if Rome prolongs social distancing rules on planes beyond June 15, the budget airline's chief executive said in a newspaper interview.",negative
134,Greensill Capital said it has dropped a libel suit against Reuters over a story which said that the financing group had provided a false statement to market participants in 2018.,neutral
135,"French Finance Minister Bruno Le Maire on Thursday said that the government had yet to sign off on a planned 5 billion euro ($5.5 billion) loan for Renault , and that the carmaker's site closures and job cuts could only ever be a last resort.",neutral
136,Chinese social media and gaming giant Tencent Holdings Ltd said on Thursday it raised $6 billion in a U.S. dollar bond sale - the largest debt deal by an Asian corporate in 2020.,positive
137,"Business groups are urging U.S. President Donald Trump to go slowly in responding to Beijing's planned imposition of new national security laws on Hong Kong, warning revoking the city's special U.S. privileges will hurt the territory and its people.",neutral
138,"Boeing Co  said on Wednesday it was eliminating more than 12,000 U.S. jobs, including 6,770 involuntary layoffs, as the largest American planemaker restructures in the face of the coronavirus pandemic.",negative
139,"U.S. stocks will end this year around current levels as the coronavirus pandemic cripples the economy and eats into earnings, according to strategists polled by Reuters.",negative
140,Job cuts by U.S. state and local governments whose budgets have been crushed fighting the COVID-19 pandemic and more second-wave layoffs in the private sector likely contributed last week to a 10th straight week of more than 2 million Americans seeking unemployment benefits.,negative
141,"German automotive supplier Bosch on Monday said it has received government approval in Mexico to restart operations, which had been suspended since late March due to measures taken to curb the spread of the novel coronavirus.",positive
142,"U.S. President Donald Trump on Wednesday threatened to regulate or shut down social media companies, a day after Twitter Inc for the first time added a fact-checking label to some of his tweets about mail-in ballots.",neutral
143,"Facebook Inc's Chief Executive Officer Mark Zuckerberg, commenting on U.S. President Donald Trump's threats against social media companies, said on Wednesday censoring a platform would not be the ""right reflex"" for a government worried about censorship.",neutral
144,"Micron Technology Inc  raised its revenue forecast for the third quarter on Wednesday to a range of $5.2 billion to $5.4 billion from $4.6 billion to $5.2 billion, sending its shares about 3% higher.",positive
145,"Billionaire investor Carl Icahn, who was the largest shareholder in Hertz Global Holdings Inc, unloaded his entire stake in the rental car company at a ""significant loss"" days after it filed for bankruptcy protection.",negative
146,"Nissan Motor Co  will unveil its plan to become a smaller, more cost-efficient automaker on Thursday as it looks to recover from four years of tumbling profits which are set to culminate in its first annual operating loss in 11 years.",neutral
147,"Japan's Nissan Motor Co  will close its factory in Barcelona, resulting in the loss of about 2,800 jobs, Spanish newspaper El Pais reported, citing government and union sources.",negative
148,"U.S. stocks rose on Wednesday, with the S&P 500 closing above 3,000 for the first time since March 5, as the further easing of lockdowns lifted optimism for an economic recovery.",positive
149,A group of 23 U.S. states and the District of Columbia filed a lawsuit on Wednesday challenging a Trump administration decision to weaken Obama-era fuel efficiency standards.,neutral
150,"U.S. President Donald Trump will sign an executive order shortly regarding social media companies, a White House spokeswoman said on Wednesday.",neutral
151,Exxon Mobil Corp  shareholders soundly rejected climate-related proposals and splitting the chairman and chief executive's roles at the oil major's shareholder meeting on Wednesday.,neutral
152,"JPMorgan Chase & Co's  head of its corporate and investment banking division said second-quarter revenues for its markets unit are on track to be up more than 50% higher than the same period last year, thanks to extremely strong fixed income and equities trading revenues.",positive
153,U.S. luxury homebuilder Toll Brothers Inc  on Wednesday withdrew its full-year forecast and warned it would not provide such guidance for the foreseeable future due to uncertainty caused by the COVID-19 pandemic.,negative
154,"United Airlines Holdings Inc  is reshuffling its management team to help the airline prepare for the near-term uncertainty of travel demand, new Chief Executive Scott Kirby told employees on Wednesday, as restrictions to keep the coronavirus from spreading are lifted.",neutral
155,"Boeing Co  on Wednesday said it has resumed production of its 737 MAX passenger jet at the company’s Renton, Washington, plant at a ""low rate"" after halting production in January following two crashes that killed 346 people.",positive
156,"American Airlines Group Inc  is not considering a Chapter 11 bankruptcy filing, Chief Executive Doug Parker said on Wednesday and dismissed speculation that a major U.S. carrier could disappear due to the coronavirus pandemic.",positive
157,Oil futures tumbled on Wednesday after U.S. President Donald Trump said he was working on a strong response to China's proposed security law in Hong Kong and as some traders doubted Russia's commitment to deep production cuts.,negative
158,"U.S. logistics company FedEx Corp  is close to taking a stake in German parcel delivery firm Hermes, the Handelsblatt newspaper reported on Wednesday.",neutral
159,Japanese automaker Nissan Motor Co  said Wednesday it plans to begin restarting its shuttered U.S. manufacturing operations beginning June 1.,positive
160,"William Ackman's hedge fund is boasting double-digit gains at a time many portfolios have sunk along with the economy during the coronavirus pandemic, after the billionaire investor plowed cash into a number of companies he already owned and dumped Warren Buffett's Berkshire Hathaway among other stocks.",positive
161,MGM Resorts said on Wednesday it would re-open its Las Vegas casinos on June 4 after months of closure due to public health restrictions aimed at curbing the spread of the novel coronavirus.,positive
162,"Equity markets rallied on Wednesday, lifted by enthusiasm for the European Union's plans for a 750 billion euro ($823 billion) recovery fund, but crude prices slid on concerns about unrest in Hong Kong over Beijing's proposed national security laws.",neutral
163,Top fund manager BlackRock Inc  on Wednesday said it cast an advisory vote in favor of an independent chairman at Exxon Mobil Corp  and cast votes against the reelection of two directors over the company's approach to climate risks.,neutral
164,"U.S. businesses continued to be slammed by the effects of the novel coronavirus epidemic into the middle of May, a Federal Reserve report showed on Wednesday, and few expected a swift recovery despite some signs of hope.",negative
165,Chevron Corp  will cut 10% to 15% of its worldwide workforce as part of an ongoing restructuring at the second-largest U.S. oil producer.,negative
166,The dollar steadied against the euro on Wednesday even as the common currency remained supported by news of a proposal for an economic recovery package to help the euro zone region recover from the coronavirus pandemic.,neutral
167,"Shares of biotechs racing to make coronavirus vaccines, including Moderna Inc , fell about 10% on Wednesday, as investor concerns grew about the prospects of the experimental products that are still in early stages of development.",negative
168,"Occidental Petroleum Corp  has been sued by investors who claim they suffered billions of dollars of losses because the heavily indebted company concealed its inability to weather plunging oil prices, after paying $35.7 billion to acquire Anadarko Petroleum Corp.",negative
169,Italian luxury group Salvatore Ferragamo  has called back former CEO Michele Norsa as executive director to help management revamp the brand and weather the COVID-19 storm.,neutral
170,"India's antitrust body is looking into allegations that Alphabet Inc's Google is abusing its market position to unfairly promote its mobile payments app in the country, five sources familiar with the case told Reuters.",neutral
171,"The love-hate relationship many investors had with U.S. stocks during the more-than-decade-long bull market is reemerging, as equities steadily climb in the face of economic devastation and uncertainty over the coronavirus pandemic.",neutral
172,"Huawei Technologies Co Ltd's Chief Financial Officer Meng Wanzhou has lost a key aspect of the trial on her extradition to the United States, a Canadian court announced on Wednesday.",neutral
173,Lufthansa's  $10 billion government bailout was thrown into doubt on Wednesday after the German airline's supervisory board refused to accept the conditions attached by Brussels.,neutral
174,"South African Airways (SAA) can still be saved if it gets the necessary funding, the state-owned airline's administrators said on Wednesday, adding they were talking to the government about a potential restructuring.",neutral
